univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
US500,T1 tendance haussiere (C>SMA200),1,346892,1059,0.0473,0.0543,0.0019,2.03,0.27,51.99,52.13,-0.14,ok
US500,T1 tendance haussiere (C>SMA200),3,346257,1057,0.1374,0.1621,0.0028,2.4,0.17,53.55,53.91,-0.36,ok
US500,T1 tendance haussiere (C>SMA200),5,345497,1055,0.2329,0.2755,0.0021,2.62,0.08,54.19,54.74,-0.55,ok
US500,T1 tendance haussiere (C>SMA200),10,343489,1050,0.4875,0.5687,0.004,3.04,0.08,55.39,56.07,-0.68,ok
US500,T1 tendance haussiere (C>SMA200),20,339576,1040,0.9892,1.1413,0.0117,3.36,0.12,57.41,58.25,-0.84,ok
US500,T2 tendance baissiere (C<SMA200),1,171309,1059,0.0398,0.0543,-0.0056,1.4,-0.52,51.9,52.13,-0.24,ok
US500,T2 tendance baissiere (C<SMA200),3,170948,1057,0.1184,0.1621,-0.0162,1.65,-0.59,53.51,53.91,-0.39,ok
US500,T2 tendance baissiere (C<SMA200),5,170712,1055,0.206,0.2755,-0.0248,1.8,-0.54,54.39,54.74,-0.35,ok
US500,T2 tendance baissiere (C<SMA200),10,170230,1050,0.4347,0.5687,-0.0488,2.03,-0.53,55.84,56.07,-0.23,ok
US500,T2 tendance baissiere (C<SMA200),20,169163,1040,0.8704,1.1413,-0.107,2.16,-0.6,56.94,58.25,-1.31,ok
US500,T3 momentum 12-1 positif,1,344973,1006,0.0476,0.0543,0.002,1.97,0.3,52.3,52.13,0.17,ok
US500,T3 momentum 12-1 positif,3,344202,1004,0.1401,0.1621,0.0064,2.37,0.36,53.96,53.91,0.05,ok
US500,T3 momentum 12-1 positif,5,343429,1002,0.2385,0.2755,0.0108,2.59,0.39,54.63,54.74,-0.11,ok
US500,T3 momentum 12-1 positif,10,341552,997,0.4879,0.5687,0.0199,2.91,0.36,55.65,56.07,-0.42,ok
US500,T3 momentum 12-1 positif,20,337815,987,0.9573,1.1413,0.0361,3.0,0.37,57.39,58.25,-0.86,ok
US500,T4 SMA200 en pente positive,1,354231,1039,0.0447,0.0543,-0.0,1.86,-0.0,52.23,52.13,0.1,ok
US500,T4 SMA200 en pente positive,3,353466,1037,0.1318,0.1621,-0.0002,2.24,-0.01,53.79,53.91,-0.12,ok
US500,T4 SMA200 en pente positive,5,352686,1035,0.2243,0.2755,-0.0015,2.46,-0.06,54.42,54.74,-0.32,ok
US500,T4 SMA200 en pente positive,10,350749,1030,0.465,0.5687,-0.0052,2.81,-0.1,55.52,56.07,-0.55,ok
US500,T4 SMA200 en pente positive,20,346928,1020,0.9299,1.1413,-0.0111,2.97,-0.11,57.08,58.25,-1.16,ok
US500,R1 RSI2 < 10 (sans filtre),1,66826,1247,0.104,0.0543,0.0497,3.47,2.76,54.64,52.13,2.51,ok
US500,R1 RSI2 < 10 (sans filtre),3,66288,1245,0.2017,0.1621,0.0395,2.92,1.2,54.88,53.91,0.98,ok
US500,R1 RSI2 < 10 (sans filtre),5,65959,1243,0.2873,0.2755,0.0145,2.67,0.3,55.91,54.74,1.17,ok
US500,R1 RSI2 < 10 (sans filtre),10,65646,1238,0.556,0.5687,-0.0151,2.93,-0.2,57.06,56.07,0.99,ok
US500,R1 RSI2 < 10 (sans filtre),20,65312,1228,1.264,1.1413,0.1248,3.65,1.14,59.24,58.25,1.0,ok
US500,R2 3 cloture baissieres d'affilee,1,58596,1240,0.0909,0.0543,0.0344,3.1,1.93,54.32,52.13,2.19,ok
US500,R2 3 cloture baissieres d'affilee,3,58231,1238,0.2044,0.1621,0.041,3.04,1.19,54.67,53.91,0.76,ok
US500,R2 3 cloture baissieres d'affilee,5,58006,1236,0.3145,0.2755,0.0417,3.05,0.94,55.8,54.74,1.06,ok
US500,R2 3 cloture baissieres d'affilee,10,57697,1231,0.5972,0.5687,0.034,3.32,0.54,56.08,56.07,0.01,ok
US500,R2 3 cloture baissieres d'affilee,20,57397,1221,1.2059,1.1413,0.0787,3.61,0.81,58.53,58.25,0.28,ok
US500,R3 z-score 20j < -1.5,1,70720,1234,0.0926,0.0543,0.0391,3.17,2.33,54.56,52.13,2.43,ok
US500,R3 z-score 20j < -1.5,3,70088,1232,0.1685,0.1621,0.0064,2.41,0.18,55.81,53.91,1.91,ok
US500,R3 z-score 20j < -1.5,5,69837,1230,0.2373,0.2755,-0.0404,2.13,-0.75,57.2,54.74,2.46,ok
US500,R3 z-score 20j < -1.5,10,69675,1225,0.5267,0.5687,-0.0373,2.55,-0.41,59.07,56.07,3.0,ok
