categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
seuil_ext_long,ext_atr20,-0.5,US500,5,61431,1052,0.3344,0.2755,0.1061,3.07,2.2,56.97,54.74,2.23,ok
seuil_ext_long,ext_atr20,-0.5,US500,10,61188,1047,0.6167,0.5687,0.1406,3.27,1.69,58.3,56.07,2.23,ok
seuil_ext_long,ext_atr20,-0.5,US500,20,60938,1037,1.1843,1.1413,0.2197,3.34,1.53,60.23,58.25,1.98,ok
seuil_ext_long,ext_atr20,-0.5,SPX,5,1648,1648,0.3806,0.1496,0.231,4.18,2.54,60.13,55.83,4.3,ok
seuil_ext_long,ext_atr20,-0.5,SPX,10,1648,1648,0.6262,0.299,0.3271,4.12,2.15,63.41,57.95,5.46,ok
seuil_ext_long,ext_atr20,-0.5,SPX,20,1648,1648,1.2044,0.6024,0.6021,5.03,2.51,67.23,60.34,6.9,ok
seuil_ext_long,ext_atr20,-0.5,BTC,5,554,554,0.7248,1.2904,-0.5655,1.06,-0.83,53.43,54.84,-1.41,ok
seuil_ext_long,ext_atr20,-0.5,BTC,10,554,554,1.6016,2.6533,-1.0517,1.27,-0.84,53.61,55.45,-1.84,ok
seuil_ext_long,ext_atr20,-0.5,BTC,20,554,554,2.6002,5.6943,-3.0941,1.42,-1.7,55.6,56.23,-0.63,ok
seuil_ext_long,ext_atr20,-0.75,US500,5,45705,1043,0.3212,0.2755,0.094,2.89,1.81,57.25,54.74,2.51,ok
seuil_ext_long,ext_atr20,-0.75,US500,10,45537,1038,0.6169,0.5687,0.1474,3.22,1.61,58.78,56.07,2.71,ok
seuil_ext_long,ext_atr20,-0.75,US500,20,45356,1028,1.215,1.1413,0.2605,3.39,1.71,60.75,58.25,2.5,ok
seuil_ext_long,ext_atr20,-0.75,SPX,5,1260,1260,0.409,0.1496,0.2594,3.92,2.49,60.32,55.83,4.49,ok
seuil_ext_long,ext_atr20,-0.75,SPX,10,1260,1260,0.7148,0.299,0.4157,4.6,2.67,64.68,57.95,6.73,ok
seuil_ext_long,ext_atr20,-0.75,SPX,20,1260,1260,1.3289,0.6024,0.7266,5.08,2.78,68.49,60.34,8.16,ok
seuil_ext_long,ext_atr20,-0.75,BTC,5,380,380,0.9014,1.2904,-0.389,1.16,-0.5,53.42,54.84,-1.42,ok
seuil_ext_long,ext_atr20,-0.75,BTC,10,380,380,1.8851,2.6533,-0.7682,1.31,-0.53,52.63,55.45,-2.82,ok
seuil_ext_long,ext_atr20,-0.75,BTC,20,380,380,3.3353,5.6943,-2.359,1.72,-1.21,56.84,56.23,0.61,ok
seuil_ext_long,ext_atr20,-1.0,US500,5,32695,1025,0.2529,0.2755,0.041,2.22,0.72,57.38,54.74,2.64,ok
seuil_ext_long,ext_atr20,-1.0,US500,10,32586,1020,0.5374,0.5687,0.0927,2.71,0.89,59.28,56.07,3.21,ok
seuil_ext_long,ext_atr20,-1.0,US500,20,32451,1010,1.0935,1.1413,0.1899,2.97,1.05,61.13,58.25,2.88,ok
seuil_ext_long,ext_atr20,-1.0,SPX,5,896,896,0.4167,0.1496,0.2671,3.49,2.24,60.27,55.83,4.44,ok
seuil_ext_long,ext_atr20,-1.0,SPX,10,896,896,0.7653,0.299,0.4663,4.33,2.64,64.29,57.95,6.34,ok
seuil_ext_long,ext_atr20,-1.0,SPX,20,896,896,1.4108,0.6024,0.8084,4.56,2.61,69.75,60.34,9.42,ok
seuil_ext_long,ext_atr20,-1.0,BTC,5,261,261,1.2244,1.2904,-0.0659,1.35,-0.07,57.47,54.84,2.63,ok
seuil_ext_long,ext_atr20,-1.0,BTC,10,261,261,2.2769,2.6533,-0.3764,1.45,-0.24,54.79,55.45,-0.66,ok
seuil_ext_long,ext_atr20,-1.0,BTC,20,261,261,4.0976,5.6943,-1.5967,1.85,-0.72,58.62,56.23,2.39,ok
seuil_ext_long,ext_atr20,-1.25,US500,5,22973,998,0.249,0.2755,0.0271,2.08,0.41,57.72,54.74,2.98,ok
seuil_ext_long,ext_atr20,-1.25,US500,10,22894,993,0.4496,0.5687,-0.0038,2.17,-0.03,60.17,56.07,4.1,ok
seuil_ext_long,ext_atr20,-1.25,US500,20,22805,983,1.0653,1.1413,0.1896,2.78,0.96,61.66,58.25,3.41,ok
seuil_ext_long,ext_atr20,-1.25,SPX,5,611,611,0.4329,0.1496,0.2833,2.93,1.92,61.37,55.83,5.54,ok
seuil_ext_long,ext_atr20,-1.25,SPX,10,611,611,0.7546,0.299,0.4556,3.37,2.03,63.99,57.95,6.04,ok
seuil_ext_long,ext_atr20,-1.25,SPX,20,611,611,1.4185,0.6024,0.8161,3.67,2.11,70.87,60.34,10.53,ok
seuil_ext_long,ext_atr20,-1.25,BTC,5,164,164,1.1689,1.2904,-0.1214,1.04,-0.11,59.76,54.84,4.91,ok
seuil_ext_long,ext_atr20,-1.25,BTC,10,164,164,2.2074,2.6533,-0.4459,1.36,-0.28,53.66,55.45,-1.79,ok
seuil_ext_long,ext_atr20,-1.25,BTC,20,164,164,2.8802,5.6943,-2.8141,1.15,-1.12,56.71,56.23,0.48,ok
seuil_ext_long,ext_atr20,-1.5,US500,5,15570,953,0.2875,0.2755,0.0504,2.29,0.7,57.89,54.74,3.15,ok
seuil_ext_long,ext_atr20,-1.5,US500,10,15514,948,0.4924,0.5687,0.0259,2.3,0.21,61.18,56.07,5.11,ok
seuil_ext_long,ext_atr20,-1.5,US500,20,15447,938,1.0802,1.1413,0.1884,2.74,0.85,62.1,58.25,3.85,ok
seuil_ext_long,ext_atr20,-1.5,SPX,5,410,410,0.4631,0.1496,0.3135,2.6,1.76,61.71,55.83,5.88,ok
seuil_ext_long,ext_atr20,-1.5,SPX,10,410,410,0.7529,0.299,0.4539,2.91,1.75,63.66,57.95,5.71,ok
