sortie,stop_atr,confirmation,SPX_IS_n_trades,SPX_IS_win_rate_pct,SPX_IS_esperance_R,SPX_IS_profit_factor,SPX_IS_t_stat_R,US500_IS_n_trades,US500_IS_win_rate_pct,US500_IS_esperance_R,US500_IS_profit_factor,US500_IS_t_stat_R,valide
retour_moyenne,1.5,True,137,55.47,-0.0423,0.914,-0.5,3577,56.08,0.0251,1.052,1.39,True
retour_moyenne,1.5,False,248,54.44,-0.033,0.934,-0.5,7393,56.08,0.0114,1.023,0.86,True
retour_moyenne,2.0,True,126,59.52,-0.0472,0.885,-0.63,3295,63.22,0.0266,1.071,1.73,True
retour_moyenne,2.0,False,208,65.38,0.0433,1.12,0.74,6684,63.38,0.0195,1.05,1.72,True
retour_moyenne,2.5,True,121,62.81,-0.0399,0.88,-0.61,3111,66.89,0.0286,1.095,2.14,True
retour_moyenne,2.5,False,201,69.15,0.0342,1.114,0.67,6269,67.32,0.0219,1.07,2.19,True
retour_moyenne,3.0,True,118,66.1,-0.0157,0.942,-0.27,3009,69.09,0.0311,1.125,2.62,True
retour_moyenne,3.0,False,197,71.07,0.0315,1.123,0.69,6014,69.6,0.0286,1.112,3.24,True
retour_moyenne_ou_2R,1.5,True,137,55.47,-0.0431,0.912,-0.51,3579,56.13,0.0184,1.039,1.05,True
retour_moyenne_ou_2R,1.5,False,248,54.44,-0.0345,0.931,-0.53,7413,56.19,0.0043,1.009,0.33,True
retour_moyenne_ou_2R,2.0,True,126,59.52,-0.0472,0.885,-0.63,3297,63.21,0.0247,1.066,1.62,True
retour_moyenne_ou_2R,2.0,False,208,65.38,0.0433,1.12,0.74,6689,63.36,0.0174,1.045,1.55,True
retour_moyenne_ou_2R,2.5,True,121,62.81,-0.0399,0.88,-0.61,3112,66.87,0.0279,1.093,2.1,True
retour_moyenne_ou_2R,2.5,False,201,69.15,0.0342,1.114,0.67,6271,67.31,0.0215,1.069,2.17,True
retour_moyenne_ou_2R,3.0,True,118,66.1,-0.0157,0.942,-0.27,3010,69.07,0.0308,1.124,2.59,True
retour_moyenne_ou_2R,3.0,False,197,71.07,0.0315,1.123,0.69,6015,69.59,0.0286,1.112,3.24,True
objectif_2R,1.5,True,135,43.7,0.1174,1.193,0.97,3481,41.74,0.0219,1.035,0.94,True
objectif_2R,1.5,False,226,43.81,0.0956,1.161,1.05,6562,40.46,-0.0101,0.984,-0.58,True
objectif_2R,2.0,True,119,47.06,0.1275,1.245,1.09,3121,45.79,0.0508,1.096,2.27,True
objectif_2R,2.0,False,177,50.85,0.1709,1.361,1.84,5661,44.73,0.0177,1.032,1.04,True
objectif_2R,2.5,True,112,49.11,0.0753,1.171,0.74,2911,49.26,0.0777,1.177,3.77,True
objectif_2R,2.5,False,169,56.21,0.1973,1.512,2.34,5173,47.79,0.0316,1.067,1.99,True
objectif_2R,3.0,True,107,55.14,0.1373,1.393,1.46,2780,51.98,0.0837,1.226,4.46,True
objectif_2R,3.0,False,163,57.06,0.1748,1.53,2.3,4891,50.24,0.0395,1.098,2.72,True
trailing_2ATR,1.5,True,143,38.46,0.1452,1.297,1.1,3738,38.28,0.0624,1.128,2.63,True
trailing_2ATR,1.5,False,260,40.38,0.2253,1.464,2.16,7600,37.45,0.0136,1.027,0.82,True
trailing_2ATR,2.0,True,140,39.29,0.1137,1.303,1.11,3656,39.11,0.0481,1.128,2.61,True
trailing_2ATR,2.0,False,244,44.67,0.262,1.773,3.1,7377,38.5,0.017,1.044,1.3,True
trailing_2ATR,2.5,True,139,39.57,0.0945,1.317,1.15,3649,39.22,0.0392,1.131,2.65,True
trailing_2ATR,2.5,False,242,45.04,0.2147,1.795,3.15,7358,38.61,0.0143,1.046,1.36,True
trailing_2ATR,3.0,True,139,39.57,0.0787,1.317,1.15,3648,39.23,0.0328,1.131,2.66,True
trailing_2ATR,3.0,False,242,45.04,0.1783,1.789,3.14,7353,38.65,0.0126,1.049,1.43,True
temps_10_barres,1.5,True,135,45.19,0.0555,1.106,0.49,3580,45.36,0.061,1.114,2.62,True
temps_10_barres,1.5,False,243,45.27,0.1028,1.191,1.14,7066,43.77,0.0044,1.008,0.26,True
temps_10_barres,2.0,True,123,49.59,0.0643,1.156,0.67,3307,50.26,0.0653,1.156,3.36,True
temps_10_barres,2.0,False,206,56.31,0.1868,1.505,2.4,6455,48.8,0.0182,1.041,1.29,True
temps_10_barres,2.5,True,119,52.1,0.0222,1.066,0.28,3148,52.6,0.0617,1.184,3.78,True
temps_10_barres,2.5,False,202,57.92,0.1437,1.467,2.19,6111,51.09,0.0195,1.053,1.61,True
temps_10_barres,3.0,True,116,54.31,0.042,1.154,0.62,3069,54.02,0.0568,1.204,4.01,True
temps_10_barres,3.0,False,200,59.5,0.1284,1.493,2.27,5947,52.08,0.0199,1.065,1.91,True
