mode,decennie,n,win_rate,esperance_R,R_total
A_continuation,1960s,30,36.7,0.066,2.0
A_continuation,1970s,52,25.0,-0.218,-11.3
A_continuation,1980s,84,54.8,0.573,48.2
A_continuation,1990s,78,50.0,0.322,25.1
A_continuation,2000s,81,40.7,0.099,8.0
A_continuation,2010s,79,39.2,0.239,18.9
B_objectif2R,1960s,13,46.2,-0.087,-1.1
B_objectif2R,1970s,24,37.5,-0.192,-4.6
B_objectif2R,1980s,35,62.9,0.408,14.3
B_objectif2R,1990s,35,62.9,0.176,6.2
B_objectif2R,2000s,33,54.5,0.125,4.1
B_objectif2R,2010s,30,53.3,0.296,8.9
