sortie,stop_atr,confirmation,SPX_IS_n,SPX_IS_wr,SPX_IS_espR,SPX_OOS_n,SPX_OOS_wr,SPX_OOS_espR,US500_IS_n,US500_IS_wr,US500_IS_espR,US500_OOS_n,US500_OOS_wr,US500_OOS_espR,BTC_ALL_n,BTC_ALL_wr,BTC_ALL_espR
objectif_1.5R,2.0,True,32,34.38,-0.207,21,42.86,0.005,847,44.75,-0.0309,1219,35.77,-0.2185,21,52.38,0.1581
objectif_1.5R,2.0,False,49,38.78,-0.2107,30,43.33,0.0435,1440,40.9,-0.1194,2067,35.99,-0.219,37,43.24,-0.1075
objectif_1.5R,3.0,True,32,31.25,-0.1856,19,42.11,-0.0053,754,46.82,-0.0075,1059,38.62,-0.1822,20,60.0,0.0637
objectif_1.5R,3.0,False,41,39.02,-0.1907,27,44.44,0.072,1232,42.45,-0.0975,1757,37.91,-0.1825,31,51.61,-0.0649
objectif_1.5R,4.0,True,30,33.33,-0.1099,19,42.11,0.0486,724,47.79,0.0052,1010,39.7,-0.1377,18,66.67,0.0751
objectif_1.5R,4.0,False,41,39.02,-0.1532,26,42.31,0.0933,1165,43.69,-0.0717,1626,39.48,-0.1423,29,55.17,-0.0846
objectif_2R,2.0,True,32,31.25,-0.1853,21,42.86,0.0323,840,42.86,-0.0147,1211,33.28,-0.2503,21,52.38,0.1453
objectif_2R,2.0,False,48,37.5,-0.1948,29,41.38,-0.0298,1395,38.42,-0.1377,2017,33.42,-0.2362,37,43.24,-0.0474
objectif_2R,3.0,True,32,31.25,-0.1433,19,42.11,0.0193,752,46.41,-0.0021,1057,37.75,-0.1875,20,60.0,0.0925
objectif_2R,3.0,False,41,39.02,-0.1599,27,44.44,0.0901,1227,42.22,-0.0873,1745,37.08,-0.1808,31,51.61,-0.0355
objectif_2R,4.0,True,29,34.48,-0.1034,19,42.11,0.0484,723,47.44,0.0045,1010,39.7,-0.1282,18,66.67,0.0692
objectif_2R,4.0,False,41,39.02,-0.1416,26,42.31,0.0749,1163,43.68,-0.0704,1626,39.36,-0.1371,29,55.17,-0.0918
temps_5,2.0,True,38,44.74,-0.0817,26,34.62,-0.0642,1002,47.41,-0.0061,1436,41.09,-0.1122,26,65.38,0.1353
temps_5,2.0,False,72,40.28,-0.147,50,40.0,-0.0317,2028,43.59,-0.0813,2953,42.33,-0.1022,49,53.06,0.0163
temps_5,3.0,True,38,44.74,-0.0498,26,34.62,-0.0631,979,47.29,-0.0052,1404,41.74,-0.0752,26,69.23,0.0838
temps_5,3.0,False,71,38.03,-0.1163,50,40.0,-0.017,1974,44.12,-0.0484,2867,43.43,-0.0687,48,52.08,-0.0086
temps_5,4.0,True,38,44.74,-0.04,26,34.62,-0.0474,976,47.44,-0.004,1401,41.61,-0.0603,26,69.23,0.0957
temps_5,4.0,False,70,38.57,-0.0793,50,40.0,-0.0128,1960,44.18,-0.0312,2843,43.4,-0.0529,47,53.19,0.0038
temps_10,2.0,True,35,45.71,-0.016,24,41.67,-0.0927,908,46.37,0.0206,1278,37.72,-0.1772,21,42.86,0.0203
temps_10,2.0,False,57,40.35,-0.1492,39,48.72,0.0039,1640,41.52,-0.0907,2372,38.53,-0.145,43,44.19,-0.0226
temps_10,3.0,True,34,44.12,-0.0945,22,36.36,-0.0928,853,49.0,0.0204,1181,39.29,-0.131,20,40.0,-0.0413
temps_10,3.0,False,54,40.74,-0.1542,37,45.95,0.011,1531,43.7,-0.0633,2200,40.5,-0.1075,41,46.34,-0.0453
temps_10,4.0,True,34,44.12,-0.0678,22,36.36,-0.0696,840,49.29,0.0218,1160,38.79,-0.1029,19,36.84,-0.0626
temps_10,4.0,False,53,41.51,-0.1132,37,45.95,0.0082,1502,43.87,-0.0488,2141,41.15,-0.0815,39,46.15,-0.0433
trailing_2ATR,2.0,True,39,33.33,-0.0864,27,25.93,-0.1107,991,37.74,0.0128,1442,29.2,-0.1767,26,38.46,0.2572
trailing_2ATR,2.0,False,69,30.43,-0.0862,44,25.0,0.0113,1870,34.17,-0.0451,2707,30.18,-0.1643,46,39.13,0.0794
trailing_2ATR,3.0,True,39,33.33,-0.0576,27,25.93,-0.0738,991,37.74,0.0073,1440,29.24,-0.1177,26,38.46,0.1585
trailing_2ATR,3.0,False,69,30.43,-0.0671,44,25.0,0.0076,1865,34.26,-0.0293,2700,30.15,-0.11,46,39.13,0.0384
trailing_2ATR,4.0,True,39,33.33,-0.0432,27,25.93,-0.0554,991,37.74,0.0049,1440,29.24,-0.0882,26,38.46,0.1205
trailing_2ATR,4.0,False,69,30.43,-0.0503,44,25.0,0.0057,1865,34.32,-0.0215,2699,30.12,-0.0824,46,39.13,0.0298
retour_moyenne,2.0,True,33,42.42,-0.2843,23,60.87,-0.0519,902,58.65,-0.0183,1266,50.39,-0.1457,22,59.09,0.0695
retour_moyenne,2.0,False,56,50.0,-0.1707,35,57.14,-0.1372,1645,56.41,-0.0899,2380,51.3,-0.1247,41,51.22,-0.1194
retour_moyenne,3.0,True,33,48.48,-0.2284,21,61.9,-0.028,835,63.59,-0.01,1134,53.88,-0.1144,21,61.9,0.0566
retour_moyenne,3.0,False,52,51.92,-0.1881,33,60.61,-0.0072,1507,61.84,-0.0572,2151,55.6,-0.0956,36,55.56,-0.1346
retour_moyenne,4.0,True,33,48.48,-0.1649,21,61.9,-0.0248,816,63.85,-0.0131,1096,54.74,-0.0816,19,57.89,0.0663
retour_moyenne,4.0,False,51,52.94,-0.1431,33,60.61,0.0144,1462,62.52,-0.0451,2051,56.41,-0.0714,34,55.88,-0.1265
