actif,debut,fin,annees,barres,n_trades,win_rate,gain_moy_R,perte_moy_R,ratio_GP,esperance_R,profit_factor,t_stat,R_total,alea_median_R,bat_alea_sur_40,esp_1re_moitie,esp_2e_moitie,p_bootstrap,bh_CAGR_%,bh_drawdown_%,expo_%
BTC_2012,2012-01-01,2026-09-18,14.7,5375,134,56.72,1.753,-0.596,2.94,0.736,3.852,5.2,98.6,0.3305,40,1.068,0.404,0.0,92.41,-84.86,19.6
ETH,2017-08-17,2026-09-16,9.1,3318,59,49.15,1.618,-0.619,2.62,0.4808,2.529,2.51,28.4,0.2668,40,0.545,0.419,0.0,25.72,-93.97,16.5
ADA,2018-04-17,2026-09-16,8.4,3075,56,44.64,1.666,-0.557,2.99,0.4352,2.41,2.25,24.4,0.1968,40,0.456,0.414,0.0118,-2.47,-95.16,9.5
BTC,2017-08-17,2026-09-16,9.1,3318,65,46.15,1.622,-0.593,2.73,0.4292,2.344,2.22,27.9,0.1636,40,0.391,0.467,0.0143,37.27,-83.19,17.4
SOL,2020-08-11,2026-09-16,6.1,2228,47,51.06,1.311,-0.552,2.37,0.3992,2.478,1.87,18.8,0.2124,40,0.705,0.106,0.0755,74.54,-96.27,15.3
DOGE,2019-07-05,2026-09-16,7.2,2631,58,41.38,1.769,-0.731,2.42,0.3034,1.708,1.39,17.6,0.2742,25,0.644,-0.038,0.1295,52.49,-92.33,7.4
XRP,2018-05-04,2026-09-16,8.4,3058,57,40.35,1.539,-0.622,2.48,0.2501,1.675,1.34,14.3,0.1085,40,0.268,0.233,0.153,4.63,-84.99,8.1
TRX,2018-06-11,2026-09-16,8.3,3020,85,45.88,1.241,-0.682,1.82,0.2002,1.542,1.28,17.0,0.1572,30,-0.002,0.398,0.1047,26.38,-83.11,15.4
BNB,2017-11-06,2026-09-16,8.9,3237,85,34.12,1.591,-0.556,2.86,0.1767,1.483,1.15,15.0,0.07,40,0.346,0.011,0.1938,99.78,-80.02,13.8
ZEC,2019-03-21,2026-09-16,7.5,2737,69,30.43,1.32,-0.588,2.25,-0.0073,0.982,-0.05,-0.5,0.0901,2,-0.099,0.082,0.7135,52.99,-94.28,13.0
BCH,2019-11-28,2026-09-16,6.8,2485,52,28.85,1.22,-0.618,1.97,-0.0881,0.8,-0.52,-4.6,-0.026,8,0.001,-0.177,0.1542,0.25,-94.25,9.6
