trend_len,seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,IS_wr,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_t
150,1.0,1.5,1.5,20,559,0.1741,39.9,624,0.1042,36.1,1183,0.1373,3.27
150,1.0,1.5,1.5,40,559,0.1741,39.9,623,0.1062,36.1,1182,0.1384,3.29
150,1.0,1.5,2.0,20,426,0.3226,40.1,476,0.1735,37.0,902,0.2439,4.05
150,1.0,1.5,2.0,40,421,0.3289,40.4,463,0.1913,36.5,884,0.2568,4.17
150,1.0,1.5,2.5,20,354,0.5447,39.8,405,0.2909,33.6,759,0.4092,4.25
150,1.0,1.5,2.5,40,341,0.571,38.4,384,0.2782,33.3,725,0.4159,4.17
150,1.0,1.5,3.0,20,324,0.7353,38.9,361,0.4019,34.6,685,0.5596,4.4
150,1.0,1.5,3.0,40,296,0.9044,34.8,326,0.434,32.8,622,0.6578,4.3
150,1.0,2.0,1.5,20,550,0.1401,40.4,623,0.0707,36.1,1173,0.1032,3.25
150,1.0,2.0,1.5,40,550,0.1401,40.4,622,0.0722,36.2,1172,0.1041,3.27
150,1.0,2.0,2.0,20,405,0.2851,42.2,464,0.1406,37.9,869,0.2079,4.39
150,1.0,2.0,2.0,40,399,0.2915,42.6,450,0.1563,37.3,849,0.2199,4.53
150,1.0,2.0,2.5,20,330,0.4623,43.6,387,0.2175,36.2,717,0.3302,4.29
150,1.0,2.0,2.5,40,314,0.4906,42.4,363,0.2171,35.5,677,0.3439,4.28
150,1.0,2.0,3.0,20,297,0.6278,44.8,343,0.2849,36.7,640,0.444,4.62
150,1.0,2.0,3.0,40,260,0.8357,40.0,308,0.3031,34.7,568,0.5469,4.22
150,1.0,3.0,1.5,20,550,0.0952,40.4,620,0.0497,36.5,1170,0.0711,3.35
150,1.0,3.0,1.5,40,550,0.0952,40.4,619,0.0507,36.5,1169,0.0716,3.36
150,1.0,3.0,2.0,20,404,0.1883,42.3,461,0.0972,37.7,865,0.1398,4.41
150,1.0,3.0,2.0,40,398,0.1933,42.7,448,0.1072,37.3,846,0.1477,4.55
150,1.0,3.0,2.5,20,325,0.3137,44.6,377,0.1587,36.9,702,0.2305,4.4
150,1.0,3.0,2.5,40,309,0.331,42.7,353,0.159,36.5,662,0.2393,4.36
150,1.0,3.0,3.0,20,285,0.4428,47.0,328,0.2056,38.7,613,0.3159,4.7
150,1.0,3.0,3.0,40,249,0.5746,41.4,291,0.2249,36.8,540,0.3861,4.23
150,1.5,1.5,1.5,20,437,0.1802,39.8,473,0.1218,35.9,910,0.1499,2.99
150,1.5,1.5,1.5,40,437,0.1802,39.8,472,0.1251,36.0,909,0.1516,3.02
150,1.5,1.5,2.0,20,346,0.2985,39.0,376,0.2113,35.6,722,0.2531,3.71
150,1.5,1.5,2.0,40,343,0.3119,39.4,366,0.2297,35.8,709,0.2695,3.87
150,1.5,1.5,2.5,20,299,0.4788,37.8,327,0.3118,33.3,626,0.3916,3.76
150,1.5,1.5,2.5,40,292,0.4998,37.3,312,0.3062,34.0,604,0.3998,3.77
150,1.5,1.5,3.0,20,275,0.6985,37.1,288,0.4641,33.0,563,0.5786,4.05
150,1.5,1.5,3.0,40,255,0.8541,35.3,262,0.5295,33.6,517,0.6896,4.14
150,1.5,2.0,1.5,20,431,0.1406,40.4,471,0.0865,36.1,902,0.1124,2.95
150,1.5,2.0,1.5,40,431,0.1406,40.4,470,0.089,36.2,901,0.1137,2.98
150,1.5,2.0,2.0,20,327,0.27,41.9,367,0.1668,36.8,694,0.2154,4.01
150,1.5,2.0,2.0,40,324,0.281,42.3,356,0.1813,36.8,680,0.2288,4.17
150,1.5,2.0,2.5,20,277,0.4196,43.0,313,0.2485,36.4,590,0.3288,3.94
150,1.5,2.0,2.5,40,268,0.4398,41.8,296,0.2468,36.8,564,0.3385,3.95
150,1.5,2.0,3.0,20,249,0.6358,44.2,274,0.344,36.1,523,0.4829,4.17
