seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_wr,tot_t,R_par_an,dd_seq_%
1.0,1.0,2.0,40,438,0.4157,497,0.2332,32.0,935,0.3187,33.6,3.88,32.7,-30.4
1.0,1.0,3.0,40,320,1.146,378,0.4393,25.1,698,0.7633,26.8,3.89,58.5,-30.1
1.0,1.0,4.0,40,286,1.2882,320,1.063,23.1,606,1.1693,24.6,4.33,77.9,-29.4
1.0,1.0,5.0,40,276,1.3936,310,1.2859,21.6,586,1.3366,21.5,4.47,86.1,-33.8
1.0,1.0,6.0,40,270,1.4811,305,1.3145,21.0,575,1.3927,21.4,4.56,88.0,-30.4
1.0,1.0,0.0,40,253,2.3565,304,1.2784,20.4,557,1.7681,20.6,3.97,108.2,-32.6
1.0,1.25,2.0,40,407,0.3679,469,0.1982,35.0,876,0.2771,37.0,3.89,26.7,-24.9
1.0,1.25,3.0,40,290,1.0288,346,0.4211,28.6,636,0.6982,30.3,3.99,48.8,-19.9
1.0,1.25,4.0,40,257,1.1467,287,1.0034,26.8,544,1.0711,28.5,4.41,64.0,-22.6
1.0,1.25,5.0,40,250,1.168,276,1.2393,25.7,526,1.2054,25.1,4.42,69.7,-20.3
1.0,1.25,6.0,40,244,1.2436,269,1.2922,25.3,513,1.2691,25.1,4.57,71.5,-21.2
1.0,1.25,0.0,40,228,2.0886,269,1.2223,25.3,497,1.6197,25.2,4.06,88.5,-19.0
1.0,1.5,2.0,40,379,0.3818,446,0.1832,37.0,825,0.2745,39.8,4.29,24.9,-21.0
1.0,1.5,3.0,40,262,1.0205,315,0.4225,33.0,577,0.6941,34.7,4.27,44.0,-17.0
1.0,1.5,4.0,40,228,1.1765,255,0.9837,32.5,483,1.0747,33.7,4.84,57.0,-16.7
1.0,1.5,5.0,40,214,1.2633,245,1.215,31.4,459,1.2375,31.2,4.88,62.4,-15.9
1.0,1.5,6.0,40,205,1.3561,240,1.2537,31.2,445,1.3008,31.9,5.03,63.6,-16.3
1.0,1.5,0.0,40,194,2.2828,240,1.1909,31.2,434,1.679,31.6,4.41,80.1,-15.6
1.0,2.0,2.0,40,362,0.328,432,0.1548,38.2,794,0.2337,41.3,4.64,20.4,-14.4
1.0,2.0,3.0,40,237,0.9009,297,0.3017,35.4,534,0.5677,37.8,4.17,33.3,-12.1
1.0,2.0,4.0,40,198,1.1265,231,0.7908,36.8,429,0.9458,39.2,4.99,44.6,-11.8
1.0,2.0,5.0,40,184,1.2006,223,0.9805,37.2,407,1.08,39.6,4.95,48.3,-11.5
1.0,2.0,6.0,40,175,1.2642,217,1.0307,37.8,392,1.135,40.1,5.15,48.9,-11.3
1.0,2.0,0.0,40,168,1.9663,217,0.971,37.8,385,1.4053,39.2,4.42,59.5,-11.1
1.0,2.5,2.0,40,360,0.2672,430,0.128,38.4,790,0.1914,41.6,4.73,16.6,-11.8
1.0,2.5,3.0,40,226,0.7716,283,0.2665,36.7,509,0.4908,39.3,4.3,27.5,-9.8
1.0,2.5,4.0,40,180,1.0871,213,0.7218,41.3,393,0.8891,43.5,5.32,38.4,-8.7
1.0,2.5,5.0,40,168,1.123,203,0.8981,42.4,371,0.9999,45.0,5.22,40.8,-9.5
1.0,2.5,6.0,40,161,1.1534,198,0.9351,43.4,359,1.033,46.2,5.36,40.8,-9.3
1.0,2.5,0.0,40,156,1.6523,198,0.8729,42.9,354,1.2164,44.6,4.42,47.3,-9.2
1.5,1.0,2.0,40,348,0.4823,389,0.2812,30.6,737,0.3762,33.6,3.98,30.5,-19.3
1.5,1.0,3.0,40,260,1.1958,292,0.6294,27.1,552,0.8962,29.2,4.06,54.4,-25.2
1.5,1.0,4.0,40,231,1.352,257,1.2337,24.9,488,1.2897,26.2,4.27,69.2,-28.7
1.5,1.0,5.0,40,215,1.6241,250,1.51,22.4,465,1.5627,23.7,4.55,79.9,-25.7
1.5,1.0,6.0,40,211,1.676,246,1.6044,21.5,457,1.6375,23.0,4.7,82.2,-23.3
1.5,1.0,0.0,40,198,2.5786,246,1.5338,20.7,444,1.9997,21.8,4.14,97.6,-23.8
1.5,1.25,2.0,40,325,0.4236,362,0.2646,34.3,687,0.3398,37.3,4.11,25.7,-16.5
1.5,1.25,3.0,40,240,1.0427,266,0.6046,31.2,506,0.8124,33.0,4.15,45.2,-19.9
