config,annee,n,win_rate,esperance_R,R_total
A_actuelle,2018,4,25.0,-0.198,-0.8
A_actuelle,2019,44,45.5,0.167,7.3
A_actuelle,2020,108,47.2,0.422,45.6
A_actuelle,2021,127,44.1,0.34,43.2
A_actuelle,2022,12,41.7,0.111,1.3
A_actuelle,2023,105,37.1,0.11,11.6
A_actuelle,2024,115,41.7,0.463,53.2
A_actuelle,2025,83,31.3,-0.097,-8.0
A_actuelle,2026,35,37.1,0.137,4.8
B_equilibre,2018,2,50.0,-0.282,-0.6
B_equilibre,2019,28,28.6,0.418,11.7
B_equilibre,2020,73,37.0,0.47,34.3
B_equilibre,2021,82,39.0,1.37,112.4
B_equilibre,2022,9,22.2,0.104,0.9
B_equilibre,2023,51,43.1,0.819,41.8
B_equilibre,2024,75,34.7,0.635,47.6
B_equilibre,2025,43,32.6,0.216,9.3
B_equilibre,2026,18,38.9,0.361,6.5
C_laisse_courir,2018,3,0.0,-1.057,-3.2
C_laisse_courir,2019,28,21.4,0.79,22.1
C_laisse_courir,2020,69,20.3,1.496,103.2
C_laisse_courir,2021,74,21.6,1.901,140.7
C_laisse_courir,2022,9,11.1,-0.712,-6.4
C_laisse_courir,2023,55,25.5,1.108,61.0
C_laisse_courir,2024,64,25.0,2.92,186.9
C_laisse_courir,2025,39,20.5,1.828,71.3
C_laisse_courir,2026,17,5.9,-1.014,-17.2
D_agressive,2018,4,0.0,-1.056,-4.2
D_agressive,2019,29,31.0,1.412,40.9
D_agressive,2020,84,20.2,1.331,111.8
D_agressive,2021,70,28.6,5.339,373.7
D_agressive,2022,11,0.0,-1.061,-11.7
D_agressive,2023,82,22.0,0.87,71.3
D_agressive,2024,75,24.0,3.07,230.3
D_agressive,2025,61,14.8,0.843,51.4
D_agressive,2026,23,4.3,-0.94,-21.6
