config,frais_bps_AR,esperance_R,n
A_actuelle,0.0,0.291,633
A_actuelle,20.0,0.27,633
A_actuelle,40.0,0.25,633
A_actuelle,80.0,0.209,633
A_actuelle,160.0,0.128,633
B_equilibre,0.0,0.748,381
B_equilibre,20.0,0.721,381
B_equilibre,40.0,0.693,381
B_equilibre,80.0,0.637,381
B_equilibre,160.0,0.525,381
C_laisse_courir,0.0,1.647,358
C_laisse_courir,20.0,1.603,358
C_laisse_courir,40.0,1.56,358
C_laisse_courir,80.0,1.472,358
C_laisse_courir,160.0,1.297,358
D_agressive,0.0,2.007,439
D_agressive,20.0,1.962,439
D_agressive,40.0,1.918,439
D_agressive,80.0,1.829,439
D_agressive,160.0,1.651,439
