config,risque_par_trade_%,prob_perdre_moitie,dd_median_%,capital_median_x
A_actuelle,0.5,0.0,-5.8,2.17
A_actuelle,1.0,0.0,-11.3,4.57
A_actuelle,2.0,0.0,-21.6,18.43
A_actuelle,5.0,0.0172,-47.0,618.45
A_actuelle,10.0,0.1672,-74.6,30933.54
B_equilibre,0.5,0.0,-8.0,3.39
B_equilibre,1.0,0.0,-15.5,10.2
B_equilibre,2.0,0.0004,-29.0,68.99
B_equilibre,5.0,0.076,-59.6,4049.37
B_equilibre,10.0,0.3412,-86.5,99425.66
C_laisse_courir,0.5,0.0,-12.5,12.24
C_laisse_courir,1.0,0.0,-23.6,100.19
C_laisse_courir,2.0,0.0118,-42.2,2819.01
C_laisse_courir,5.0,0.2016,-76.6,920728.01
C_laisse_courir,10.0,0.535,-96.2,6500583.86
D_agressive,0.5,0.0,-12.7,39.76
D_agressive,1.0,0.0002,-24.0,819.15
D_agressive,2.0,0.0068,-43.0,97540.49
D_agressive,5.0,0.1726,-77.4,433030109.35
D_agressive,10.0,0.484,-96.5,17071915423.28
