actif,annees,n_trades,win_rate,esperance_R,profit_factor,t_stat,R_par_an,alea_R,apport_signal_R,bat_alea,esp_1re_moitie,esp_2e_moitie,p_boot
SOL,6.1,25,44.0,1.709,4.41,1.35,7.0,0.531,1.178,40,3.735,-0.16,0.0527
BTC,9.1,38,44.7,1.276,3.88,2.35,5.3,0.431,0.845,40,1.492,1.06,0.0
BNB,8.9,42,38.1,1.209,3.06,1.19,5.7,0.585,0.624,40,1.935,0.482,0.1013
XRP,8.4,36,30.6,0.792,2.22,1.21,3.4,0.344,0.448,40,0.897,0.688,0.0722
ADA,8.4,37,43.2,0.74,2.43,1.57,3.3,0.336,0.404,40,0.389,1.072,0.1225
DOGE,7.2,35,31.4,1.334,3.37,1.4,6.5,1.156,0.178,31,2.592,0.147,0.1185
ETH,9.1,39,46.2,0.534,2.12,1.75,2.3,0.356,0.177,38,0.346,0.712,0.0003
BCH,6.8,30,23.3,-0.008,0.99,-0.02,-0.0,-0.015,0.007,21,-0.318,0.301,0.1688
TRX,8.3,55,38.2,0.086,1.14,0.32,0.6,0.273,-0.187,5,-0.355,0.512,0.4105
ZEC,7.5,44,25.0,-0.135,0.8,-0.43,-0.8,0.106,-0.241,1,-0.486,0.217,0.4148
