symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,atr_pct_entree
BTCUSD_4h,short,2012-02-13 12:00:00,2012-02-13 16:00:00,2012-02-14 08:00:00,4,5.75,5.928533958523111,5.242717315425307,2.7182349731018842,0.08456865904745885,stop,0.015524692045487941
BTCUSD_4h,short,2012-02-20 08:00:00,2012-02-20 12:00:00,2012-02-22 00:00:00,9,4.67,4.967086826462082,4.58,0.24067038196029222,0.015341174855063519,gap_stop,0.03180801139850986
BTCUSD_4h,short,2012-02-23 04:00:00,2012-02-23 08:00:00,2012-02-23 12:00:00,1,4.73,4.949578705109566,4.78960879760174,-0.35817687857162084,-0.016660808974596684,stop,0.023211279609890695
BTCUSD_4h,short,2012-02-23 16:00:00,2012-02-23 20:00:00,2012-02-26 08:00:00,15,5.0,5.266295340789255,5.07,-0.33849634669851886,-0.018064128256513004,gap_stop,0.026629534078925533
BTCUSD_4h,short,2012-02-27 08:00:00,2012-02-27 12:00:00,2012-02-28 20:00:00,8,5.08,5.251271795713486,5.04,0.11537217740774729,0.0038975588973221595,gap_stop,0.016857460208020307
BTCUSD_4h,short,2012-03-05 00:00:00,2012-03-05 04:00:00,2012-03-05 12:00:00,2,4.97,5.12042727035699,4.95,0.0010636369297904787,3.2257674302180186e-05,gap_stop,0.015133528204928597
BTCUSD_4h,short,2012-03-05 16:00:00,2012-03-05 20:00:00,2012-03-07 08:00:00,9,4.94,5.1031219613875995,5.0704177142497935,-0.9222458361742647,-0.03051417606027693,stop,0.016510319978501914
BTCUSD_4h,short,2012-03-07 12:00:00,2012-03-07 16:00:00,2012-03-08 08:00:00,4,5.09,5.224186702592934,5.026537547187547,0.3221584321154181,0.00851002155944058,stop,0.013181404969836325
BTCUSD_4h,long,2012-03-18 16:00:00,2012-03-18 20:00:00,2012-03-19 04:00:00,2,5.24,5.134496483534017,5.25,-0.1040723605031787,-0.002091237372583245,gap_stop,0.01006712943377706
BTCUSD_4h,long,2012-03-19 08:00:00,2012-03-19 12:00:00,2012-03-19 12:00:00,0,5.24,5.146509633127214,5.146509633127214,-1.2221942212989776,-0.021762464791607806,stop,0.008920836533662812
BTCUSD_4h,long,2012-03-19 16:00:00,2012-03-19 20:00:00,2012-03-20 16:00:00,5,4.97,4.803061877543363,4.826401060009795,-0.977558269547534,-0.032769820943670855,stop,0.01679457972400777
BTCUSD_4h,short,2012-03-28 20:00:00,2012-03-29 00:00:00,2012-03-31 16:00:00,16,4.93,5.157374588735398,4.908721745061478,0.007040414926321734,0.00032535892238817684,stop,0.023060303117180343
BTCUSD_4h,short,2012-04-11 16:00:00,2012-04-11 20:00:00,2012-04-12 08:00:00,3,4.88,4.977465608518429,4.838167617315958,0.22978410323242934,0.004598551087710311,stop,0.009986230380986562
BTCUSD_4h,short,2012-04-12 20:00:00,2012-04-13 00:00:00,2012-04-14 00:00:00,6,4.93,5.0578663920804106,4.9383257651475425,-0.21946671225531938,-0.00570358093018438,stop,0.012968193922962574
BTCUSD_4h,long,2012-04-23 20:00:00,2012-04-24 00:00:00,2012-04-25 16:00:00,10,5.0,4.898833059140293,5.049813006955343,0.2937064290857447,0.005930814559168296,stop,0.010116694085970629
BTCUSD_4h,long,2012-04-26 20:00:00,2012-04-27 00:00:00,2012-04-28 04:00:00,7,4.98,4.821752154173074,4.9568438240694075,-0.27191437174944627,-0.008623288278609816,stop,0.015888337934430286
BTCUSD_4h,long,2012-04-28 08:00:00,2012-04-28 12:00:00,2012-04-28 16:00:00,1,4.99,4.862584725855765,4.862584725855765,-1.1546531181921327,-0.029424206416015022,stop,0.012767061537498547
BTCUSD_4h,long,2012-05-06 00:00:00,2012-05-06 04:00:00,2012-05-07 00:00:00,5,5.02,4.940539235866325,5.0163833207214745,-0.29812758759927843,-0.004709593943580506,stop,0.007914418738413798
BTCUSD_4h,long,2012-05-09 00:00:00,2012-05-09 04:00:00,2012-05-10 00:00:00,5,5.01,4.936148626555323,5.007536037810893,-0.3046528888400857,-0.0044818614795814875,stop,0.007370396551364941
BTCUSD_4h,long,2012-05-29 00:00:00,2012-05-29 04:00:00,2012-05-29 12:00:00,2,5.04,5.005405035194002,5.05312985177442,-0.2039721089094928,-0.0013972863655880884,stop,0.0034320401593251775
BTCUSD_4h,long,2012-06-10 12:00:00,2012-06-10 16:00:00,2012-06-10 20:00:00,1,5.46,5.357957318703308,5.420960367367358,-0.5958443329276528,-0.011113588458134368,stop,0.00934456788431247
BTCUSD_4h,long,2012-06-18 20:00:00,2012-06-19 00:00:00,2012-06-22 12:00:00,21,6.06,5.810652499772593,6.502942013500742,1.6756379313716385,0.06880893814248407,stop,0.02057322609137015
BTCUSD_4h,long,2012-06-23 16:00:00,2012-06-23 20:00:00,2012-06-25 00:00:00,7,6.36,6.166492115323122,6.285813171046752,-0.5140795966089517,-0.015610046462945396,stop,0.01521288401547792
BTCUSD_4h,long,2012-06-25 04:00:00,2012-06-25 08:00:00,2012-06-26 04:00:00,5,6.26,6.0931711139904206,6.191791482765449,-0.5581293649274575,-0.01484444851512337,stop,0.013324990895333833
BTCUSD_4h,long,2012-07-03 16:00:00,2012-07-03 20:00:00,2012-07-04 08:00:00,3,6.47,6.311421808630207,6.402596105524987,-0.587401621127375,-0.014368340087377508,stop,0.012254883413430657
BTCUSD_4h,long,2012-07-04 20:00:00,2012-07-05 00:00:00,2012-07-06 04:00:00,7,6.44,6.277613946530071,6.515462792350392,0.30514853773982764,0.007679031186956902,stop,0.01260761284704424
BTCUSD_4h,long,2012-07-08 04:00:00,2012-07-08 08:00:00,2012-07-09 16:00:00,8,6.45,6.260897483672721,6.798632614791145,1.7034958382258865,0.04984377749331758,stop,0.014659109792812293
BTCUSD_4h,long,2012-07-20 00:00:00,2012-07-20 04:00:00,2012-07-22 16:00:00,15,7.95,7.34826451673989,8.50980046827347,0.8756021241798212,0.06614203885774657,stop,0.03784499894717671
BTCUSD_4h,long,2012-07-22 20:00:00,2012-07-23 00:00:00,2012-07-23 20:00:00,5,8.42,7.983807546623554,8.425551138306396,-0.06451272540914721,-0.003335367740791208,stop,0.02590216468981272
BTCUSD_4h,long,2012-07-30 00:00:00,2012-07-30 04:00:00,2012-08-01 16:00:00,15,8.54,8.351682058361813,9.264044058545226,3.6557109983223195,0.08045220687759566,stop,0.011025640611135009
BTCUSD_4h,long,2012-08-18 08:00:00,2012-08-18 12:00:00,2012-08-19 04:00:00,4,11.67,9.97466161825276,10.717099699453833,-0.5884810434816301,-0.08531989148909326,stop,0.0726366059017669
BTCUSD_4h,long,2012-09-23 04:00:00,2012-09-23 08:00:00,2012-09-24 08:00:00,6,11.87,11.522517803919014,11.696731967098176,-0.6342814087218804,-0.018530882366355764,stop,0.0146369922527795
BTCUSD_4h,long,2012-09-25 04:00:00,2012-09-25 08:00:00,2012-09-25 20:00:00,3,11.76,11.448842243317142,11.813726825279796,0.021144809949064085,0.0005583536692971339,stop,0.013229496457604507
BTCUSD_4h,long,2012-09-26 08:00:00,2012-09-26 12:00:00,2012-09-28 12:00:00,12,11.53,11.057571633090802,11.877453799662922,0.636369263832503,0.026022447045509798,stop,0.02048691964046825
BTCUSD_4h,long,2012-10-06 12:00:00,2012-10-06 16:00:00,2012-10-07 04:00:00,3,12.3,11.834272450842008,11.958967275781863,-0.8364346482701861,-0.03160757012557825,stop,0.018932014193414344
BTCUSD_4h,long,2012-10-07 08:00:00,2012-10-07 12:00:00,2012-10-07 20:00:00,2,12.08,11.510309099427474,11.56368488675124,-0.9893127702335702,-0.04656270926873599,stop,0.02357992138131319
BTCUSD_4h,short,2012-10-31 20:00:00,2012-11-01 00:00:00,2012-11-05 16:00:00,28,11.0,11.46361186173837,10.741692324207827,0.4633709981842272,0.019568618249567894,stop,0.021073266442653168
BTCUSD_4h,long,2012-11-27 12:00:00,2012-11-27 16:00:00,2012-11-28 12:00:00,5,11.98,11.627482833594485,12.19,0.4585875963102267,0.013467222483247002,gap_stop,0.014712736494387172
BTCUSD_4h,long,2012-12-13 04:00:00,2012-12-13 08:00:00,2012-12-14 16:00:00,8,13.09,12.757087596437064,13.556355517432271,1.2407552316365378,0.031492614953241536,stop,0.012716287378263438
