symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
DOGE,long,2020-02-04,2020-02-05,2020-02-10,5,0.0025169,0.002325407079419406,0.0032155,3.588306021531514,0.272463615024312,gap_stop,True,0.03804142408927521
DOGE,long,2020-04-26,2020-04-27,2020-05-04,7,0.0024032,0.0021598306203465777,0.0024176771152578116,0.019868403470403806,0.002008034956757621,stop,True,0.05063444150578855
DOGE,long,2020-05-07,2020-05-08,2020-05-10,2,0.0026632,0.00238146923908992,0.0024113117418683495,-0.9300982284253357,-0.09819549906472252,stop,True,0.05289327893325327
DOGE,long,2020-07-06,2020-07-07,2020-07-08,1,0.0026191,0.00244971811317946,0.00303867396223807,2.410283779316637,0.1555662354469381,stop,True,0.03233589531146956
DOGE,long,2020-07-09,2020-07-10,2020-07-10,0,0.0043225,0.0036002020388685397,0.0036002020388685397,-1.0219374896931948,-0.17042684214201956,stop,True,0.08355094981277733
DOGE,long,2020-07-11,2020-07-12,2020-07-13,1,0.0038109,0.0029917400233101183,0.003050851450216539,-0.9445921122887451,-0.20263654189008282,stop,True,0.10747592126399032
DOGE,long,2020-08-01,2020-08-02,2020-08-02,0,0.0037096,0.0031470804768530913,0.0031470804768530913,-1.0243784622389445,-0.15502553338993103,stop,True,0.07581943109053653
DOGE,long,2020-11-17,2020-11-18,2020-11-22,4,0.0029385,0.0026792138378652335,0.0032692898876319483,1.2278877717014687,0.10812960020292385,stop,True,0.044118795666967234
DOGE,long,2020-11-23,2020-11-24,2020-11-25,1,0.0036894,0.003258804035764282,0.0037794466046382623,0.17443013327423973,0.020317394005014866,stop,True,0.05835582536939853
DOGE,long,2020-12-17,2020-12-18,2020-12-22,4,0.0037182,0.0032376228343481772,0.004763224129837002,2.139222075154016,0.27594246222667557,stop,True,0.06462497521002407
DOGE,long,2020-12-24,2020-12-25,2021-01-03,9,0.0045753,0.00363118382407139,0.0105245,6.269355987019514,1.291103540302081,gap_stop,True,0.10317533013448406
DOGE,long,2021-01-04,2021-01-05,2021-01-11,6,0.0097721,0.006805642559559916,0.008052090111573078,-0.5918366617083882,-0.17930168139177985,stop,True,0.15178198342424268
DOGE,long,2021-01-28,2021-01-29,2021-01-30,1,0.036442,0.030155904822104545,0.0459059,1.4793292078522593,0.25466886872761235,gap_stop,True,0.0862479443759324
DOGE,long,2021-01-31,2021-02-01,2021-02-08,7,0.0369623,0.01795671883898093,0.06246639022974054,1.3314632493944856,0.6832562747035795,stop,True,0.2570941359306519
DOGE,long,2021-02-09,2021-02-10,2021-02-14,4,0.0700122,0.04256188137156199,0.05603129785644477,-0.5184999610358988,-0.20288721079054073,stop,True,0.19603953759800438
DOGE,long,2021-04-11,2021-04-12,2021-04-15,3,0.0743335,0.06236015140061052,0.1214319,3.900902810294989,0.627087947105513,gap_stop,True,0.08053803869984243
DOGE,long,2021-04-16,2021-04-17,2021-04-17,0,0.3653855,0.2986244855065725,0.2986244855065725,-1.019892147851407,-0.1859765322050946,stop,True,0.09135695654784802
DOGE,long,2021-04-18,2021-04-19,2021-04-20,1,0.3225953,0.22919983342148348,0.3306007810342347,0.07172820178091194,0.02072478252873388,stop,True,0.14475639691358883
DOGE,long,2021-04-21,2021-04-22,2021-04-23,1,0.3058074,0.18742849181013094,0.19141855668083585,-0.9746947069951131,-0.37655396584261136,stop,True,0.19355141208137713
DOGE,long,2021-04-30,2021-05-01,2021-05-06,5,0.33746,0.22451030098759045,0.5436706291362703,1.8100833350209762,0.6046354747329784,stop,True,0.16735272182245234
DOGE,long,2021-05-07,2021-05-08,2021-05-09,1,0.68982,0.5105170730817841,0.5534615678616566,-0.7743598928387662,-0.2008753871371617,stop,True,0.12996356072469337
DOGE,long,2021-08-07,2021-08-08,2021-08-09,1,0.26184,0.22277036731117753,0.23996,-0.5857132106221937,-0.08722091411433179,gap_stop,True,0.07460592859918748
