symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
SOL,long,2021-03-01,2021-03-02,2021-03-17,15,14.9989,10.829600798151048,13.151802027788925,-0.45652741243002093,-0.12664929934294009,stop,True,0.13898683242934323
SOL,long,2021-03-28,2021-03-29,2021-04-14,16,18.0645,14.680558062474972,25.1309224253636,2.0626924779974165,0.38562370293943243,stop,True,0.09366276225539115
SOL,long,2021-04-15,2021-04-16,2021-04-18,2,27.7946,22.865202721765243,23.27351357131799,-0.9378880205574028,-0.1660032764095062,stop,True,0.08867544915621663
SOL,long,2021-04-19,2021-04-20,2021-04-23,3,31.5303,24.75764027322827,33.18637032809129,0.22541173616038102,0.048321449774327195,stop,True,0.10739922751720934
SOL,long,2021-04-24,2021-04-25,2021-05-10,15,40.8525,31.32581166044606,40.52405881417103,-0.051559816585782375,-0.011999605304593378,stop,True,0.11659859665325181
SOL,long,2021-05-18,2021-05-19,2021-05-19,0,55.969,43.111879808040314,43.111879808040314,-1.0154126084735529,-0.23279357330962921,stop,True,0.1148592988257758
SOL,long,2021-07-31,2021-08-01,2021-08-17,16,36.742,30.392677803621,59.49649299466178,3.5534526853180526,0.6128404018448449,stop,True,0.08640414507075005
SOL,long,2021-08-18,2021-08-19,2021-08-25,6,72.659,59.21592508213184,68.15803645155287,-0.3557666419751434,-0.06569112592127069,stop,True,0.0925079819283789
SOL,long,2021-08-26,2021-08-27,2021-09-01,5,74.92,59.857939535007894,108.27,2.189847801810513,0.43937245636862954,gap_stop,True,0.10052095878932264
SOL,long,2021-09-02,2021-09-03,2021-09-07,4,128.2,104.64884700158922,138.8692081219385,0.4303428246752312,0.07889890815634436,stop,True,0.09185317082063482
SOL,long,2021-09-08,2021-09-09,2021-09-10,1,191.02,151.20727639085516,173.98818522007977,-0.4461345404231666,-0.09279854671538712,stop,True,0.10421087741897408
SOL,long,2021-09-11,2021-09-12,2021-09-17,5,179.05,136.2760372560892,140.55638307499316,-0.9148750122930263,-0.21812186680064521,stop,True,0.11944697778249318
SOL,long,2021-10-21,2021-10-22,2021-10-27,5,190.46,161.62514252641276,187.07805694754464,-0.14347284948919786,-0.021677841242593334,stop,True,0.07569793519265787
SOL,long,2021-11-02,2021-11-03,2021-11-10,7,220.81,187.1453057887764,225.02398521812944,0.09868847246458985,0.015016013205657784,stop,True,0.07623000364843897
SOL,long,2023-02-20,2023-02-21,2023-02-24,3,26.26,22.371375204778563,22.81164406884056,-0.9120188771246995,-0.13478371586214932,stop,True,0.07404083768509974
