symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
ZEC,long,2020-01-15,2020-01-16,2020-01-16,0,55.0,47.70320822253884,47.70320822253884,-1.0281502368040092,-0.1361313408438802,stop,True,0.06633447070419236
ZEC,long,2020-01-17,2020-01-18,2020-01-18,0,61.5,51.69307239596461,51.69307239596461,-1.0230843087593273,-0.16281767763379437,stop,True,0.07973111873199501
ZEC,long,2020-01-19,2020-01-20,2020-02-15,26,51.6,40.624740994479694,66.06065520513057,1.2961273977739654,0.275134496408739,stop,True,0.10634940896822005
ZEC,long,2020-04-09,2020-04-10,2020-04-15,5,40.73,34.00845050234809,34.85892571244186,-0.8959618821652392,-0.1475627713143078,stop,True,0.0825134973932225
ZEC,long,2020-04-18,2020-04-19,2020-04-21,2,42.14,35.681538610814556,41.34061237361051,-0.14962524243852232,-0.022886094236223987,stop,True,0.07663100841463509
ZEC,long,2020-04-22,2020-04-23,2020-05-04,11,45.52,38.1256810772458,42.9781842402601,-0.3676893242802864,-0.05960864142147225,stop,True,0.08122055055749344
ZEC,long,2020-05-19,2020-05-20,2020-05-26,6,48.95,42.87950226177849,44.57592557398925,-0.7513595217144449,-0.09299330403867921,stop,True,0.06200712705027083
ZEC,long,2020-05-30,2020-05-31,2020-06-11,11,54.55,48.12508951653922,49.70296737594843,-0.7868652134247787,-0.09249216614989018,stop,True,0.058890105256285775
ZEC,long,2020-06-23,2020-06-24,2020-06-27,3,58.24,51.42457615368636,52.560529814012,-0.8658406841135535,-0.10112109650232554,stop,True,0.05851153714211576
ZEC,long,2020-07-08,2020-07-09,2020-07-16,7,57.93,51.752532306653094,57.321755570101274,-0.1357753666510067,-0.014449746132436055,stop,True,0.05331838161010624
ZEC,long,2020-07-22,2020-07-23,2020-08-02,10,64.27,57.59482517439171,85.1874609182805,3.0888398484102684,0.3201710162442183,stop,True,0.05193072059754384
ZEC,long,2020-08-03,2020-08-04,2020-08-07,3,82.33,70.8651066081092,89.6501855750787,0.6084858328349456,0.08456577921441868,stop,True,0.06962767758952261
ZEC,long,2020-08-08,2020-08-09,2020-08-11,2,97.06,83.31010899075663,83.54367263427402,-1.0092832518938037,-0.14269354049982175,stop,True,0.07083191329715317
ZEC,long,2020-10-11,2020-10-12,2020-10-15,3,72.46,62.478101546167,65.80942022482832,-0.6939680510335547,-0.09540839127184962,stop,True,0.06887868102286088
ZEC,long,2020-11-21,2020-11-22,2020-11-25,3,72.65,62.68014598411408,77.1523872912167,0.42154905276823107,0.0577342564236188,stop,True,0.06861565048785911
ZEC,long,2021-01-09,2021-01-10,2021-01-11,1,78.44,63.36816750277207,81.3932983954312,0.17473865896033047,0.033508095978368825,stop,True,0.096072364209765
ZEC,long,2021-01-12,2021-01-13,2021-01-15,2,99.73,77.63774198381569,96.14433184211455,-0.18003668156762906,-0.039802244719121624,stop,True,0.11076034300704062
ZEC,long,2021-01-16,2021-01-17,2021-01-21,4,108.11,82.39095738233443,88.81817907033118,-0.7654125225597643,-0.1817258765958,stop,True,0.11894849050811934
ZEC,long,2021-02-09,2021-02-10,2021-02-14,4,108.75,90.7054628761541,161.87948238249263,2.9143570187916974,0.48260466118546946,stop,True,0.08296338907515358
ZEC,long,2021-02-15,2021-02-16,2021-02-22,6,158.78,122.47353327878193,150.67358616942983,-0.24032415684806396,-0.05484258214210845,stop,True,0.11432947071803148
ZEC,long,2021-04-01,2021-04-02,2021-04-07,5,165.55,138.82239530357396,170.89200651461306,0.17469288979001388,0.028147404988174144,stop,True,0.08072366262889169
ZEC,long,2021-04-09,2021-04-10,2021-04-18,8,194.57,162.3832202224038,258.56207655637553,1.9599914262679368,0.3235847901425025,stop,True,0.08271259643726221
